DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal
9,0,13
9,0,13
9,0,16
9,0,19
9,0,17
9,0,20
9,0,17
9,0,18
9,0,17
9,0,19
9,0,22
9,0,21
9,0,28
9,0,27
9,0,21
9,0,24
10,0,25
10,0,17
10,0,20
10,0,18
10,0,42
10,0,41
10,0,38
10,0,31
10,0,32
10,0,39
10,0,43
10,0,56
10,0,74
10,0,87
10,0,89
11,0,91
11,0,93
11,0,79
11,0,69
11,0,59
11,0,64
11,0,69
11,0,100
11,0,107
11,0,109
11,0,130
11,0,113
11,0,105
11,0,92
12,0,71
12,0,54
12,0,30
12,0,23
12,0,23
12,0,23
12,0,32
12,0,49
12,0,103
12,0,88
12,0,69
12,0,55
12,0,75
12,0,90
12,0,96
12,0,91
12,0,86
12,0,61
12,0,43
11,0,34
11,0,25
11,0,25
11,0,29
11,0,76
11,0,97
11,0,107
11,0,140
11,0,188
11,0,181
11,0,174
11,0,161
10,0,172
10,0,242
10,0,221
10,0,206
10,0,264
10,0,229
10,0,201
10,0,163
10,0,162
10,0,143
10,0,120
10,0,119
10,0,128
10,0,111
10,0,104
10,0,107
10,0,96
10,0,108
10,0,107
10,0,87
10,0,78
10,0,84
10,0,60
10,0,51
10,0,72
10,0,93
10,0,107
10,0,142
10,0,184
10,0,203
10,0,246
10,0,187
10,0,190
10,0,197
10,0,195
10,0,168
10,0,165
10,0,162
10,0,159
9,0,146
9,0,133
9,0,120
9,0,129
9,0,111
9,0,95
9,0,123
9,0,103
9,0,104
9,0,105
9,0,101
9,0,96
9,0,101
9,0,90
9,0,79
9,0,77
8,0,72
8,4,69
8,13,58
8,11,51
8,3,47
8,2,40
8,9,30
8,0,17
8,0,12
8,0,6
8,0,3
8,0,1
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,2
8,0,5
8,0,9
8,0,13
8,0,17
8,0,18
8,0,17
8,0,28
8,0,35
8,0,37
8,0,36
8,0,43
8,0,47
8,0,47
8,0,48
8,0,60
8,0,63
8,0,58
8,0,73
8,0,78
8,0,86
8,0,100
8,0,93
8,0,89
8,0,86
8,0,111
8,0,117
8,0,126
8,0,135
8,0,145
8,0,152
8,0,158
8,0,164
8,0,179
8,0,198
9,0,182
9,0,193
9,0,170
9,0,153
9,0,161
9,0,282
9,113,265
9,0,238
9,0,204
9,0,203
9,0,186
9,0,195
9,0,161
9,0,143
9,0,201
9,0,301
9,99,326
9,118,322
10,0,345
10,0,232
10,0,203
10,0,286
10,0,357
10,2,391
10,17,389
10,18,392
10,33,390
10,0,401
10,0,237
10,0,173
10,0,227
10,0,249
11,0,318
11,0,297
11,0,239
11,0,292
11,0,332
11,0,286
11,343,263
11,0,409
11,0,250
11,0,201
11,0,214
11,0,155
11,0,173
11,0,248
11,0,338
11,8,420
11,415,220
11,542,142
11,511,159
11,0,377
12,188,336
12,583,107
12,240,305
12,0,240
12,273,281
12,564,106
12,559,105
12,553,105
12,546,105
12,423,176
12,25,375
12,0,341
12,73,348
12,368,190
12,80,336
12,0,349
12,176,281
12,314,200
12,105,304
12,0,317
12,0,330
12,21,322
12,319,166
12,133,261
12,0,301
12,31,293
12,1,297
12,0,162
12,0,180
12,121,226
12,338,95
12,322,97
12,277,116
12,209,148
12,110,194
12,0,210
12,0,79
11,0,160
11,248,82
11,224,88
11,149,123
11,79,152
11,14,173
11,0,137
11,0,90
11,0,63
11,0,51
11,0,43
11,0,53
11,0,35
10,0,48
10,0,44
10,0,38
10,0,66
10,0,54
10,34,58
10,0,58
10,0,32
10,0,26
10,0,36
9,0,20
9,0,8
9,0,10
9,0,9
9,0,5
9,0,2
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,1
8,0,5
8,0,8
8,0,10
8,0,13
8,0,13
8,0,12
8,0,21
8,0,21
8,0,23
8,0,48
8,0,51
8,0,60
8,0,74
8,0,81
9,0,91
9,0,96
9,0,118
9,0,116
9,0,99
9,0,81
9,0,87
9,0,82
9,0,94
9,0,111
9,0,138
9,0,155
9,0,155
9,0,165
9,0,176
9,0,199
10,0,215
10,0,156
10,0,170
10,0,180
10,0,185
10,0,191
10,0,192
10,0,193
10,0,198
10,0,204
10,0,209
10,0,214
10,0,224
10,0,230
10,0,240
10,0,245
10,0,244
11,0,255
11,0,260
11,0,265
11,0,263
11,0,287
11,0,292
11,0,283
11,0,287
11,0,277
11,0,281
11,0,278
11,0,288
11,0,291
11,0,309
11,0,312
11,0,307
11,0,295
11,0,305
11,0,300
11,0,295
11,0,282
11,0,283
11,0,263
11,0,257
11,0,258
11,0,244
11,0,237
11,0,245
11,0,217
11,0,231
11,0,237
11,0,251
11,0,258
11,0,286
11,0,293
11,0,299
11,0,291
11,0,253
11,0,217
11,0,177
11,0,170
11,0,193
11,0,224
11,0,249
11,0,247
11,0,258
11,0,256
11,0,246
11,0,250
11,0,227
11,0,218
11,0,203
11,0,177
11,0,180
11,0,183
11,0,191
11,0,182
11,0,174
11,0,160
11,0,157
11,0,154
11,0,142
11,0,148
11,0,150
11,0,156
11,0,152
11,0,144
11,0,136
11,0,128
11,0,125
11,0,121
11,0,118
11,0,118
11,0,125
11,0,139
11,0,137
11,0,150
11,0,144
11,0,127
11,0,115
11,0,110
11,0,99
11,0,79
11,0,77
10,0,68
10,0,64
10,0,66
10,0,58
10,0,67
10,0,58
10,0,50
10,0,29
10,0,31
10,0,39
10,0,23
10,0,35
10,0,48
10,0,55
10,6,50
10,16,38
10,0,33
10,0,27
10,0,19
10,0,12
10,0,7
10,0,4
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,2
8,0,6
8,0,10
8,0,15
8,0,14
8,0,14
8,0,17
8,0,24
8,0,25
8,0,21
9,0,26
9,0,46
9,0,48
9,0,63
9,0,69
9,0,83
9,0,96
9,0,76
9,0,79
9,0,60
9,0,59
9,0,21
9,0,13
9,0,23
10,0,51
10,0,54
10,0,59
10,0,95
10,0,96
10,0,83
10,0,78
10,0,58
10,0,78
10,0,101
10,0,97
10,0,112
11,0,131
11,0,139
11,0,143
11,0,143
